,summary,link,article,title,time
0,"$147,304 and $6,395 USD ",https://www.cnbc.com/2022/02/03/super-bowl-tickets-are-pricier-than-ever-heres-how-much-they-cost.html?utm_source=facebook&utm_medium=news_tab,"The average ticket price for the upcoming Super Bowl LVII in Los Angeles is currently $9,496, which is the second-highest ticket price average ever, according to TicketIQ, an event ticket search engine.

That's enough money for a 2014 Ford Focus, four Peloton bikes or to cover your food costs for the next three years.

If that price holds, it will be the second highest since 2015, when the average Super Bowl ticket price was $9,723, according to TicketIQ's data. Last year's average ticket price was $8,161, although seating capacity was limited due to the pandemic, which may have affected prices.

This year's Super Bowl will be at full capacity, with more than 70,000 fans expected to watch the Los Angeles Rams play the Cincinnati Bengals on Feb. 13.

As of Thursday, the most expensive pair of VIP tickets found on StubHub cost $147,304, with fees included, for seats on the 50 yard line at SoFi Stadium. The cheapest pair of tickets — for two nosebleed seats in an upper corner section — will cost you $6,395, with fees.",This year's Super Bowl tickets are near record prices—here's how much the most expensive and cheapest tickets cost,2022-02-05 05:10:59
1,Country singer Mickey Guyton ,https://www.cbssports.com/nfl/news/2022-super-bowl-nfl-announces-national-anthem-singer-other-pregame-entertainment/?utm_source=facebook&utm_medium=news_tab,"The teams are set for Super Bowl LVI, with the Cincinnati Bengals representing the AFC and the Los Angeles Rams representing the NFC. And the stage is set for the pregame entertainment as well.

Country singer Mickey Guyton is set to perform the ""Star-Spangled Banner"" at SoFi Stadium on Sunday. She is nominated for three Grammy Awards -- best country album, best country song and best country solo performance all for ""Remember Her Name.""

Guyton posted about the upcoming performance on her Instagram saying, ""I am shook, I am grateful, I am praise dancing…So excited to be singing the national anthem at #SBLVI on February 13th!""

She also posted a video of her finding out the news, in which she is dancing and saying, ""what is my life right now?!""

Guyton is not the only entertainment, though. ""America the Beautiful"" will be sung by R&B singer/songwriter and six-time Grammy nominee Jhené Aiko, while ""Lift Every Voice and Sing"" is scheduled to be sung by Mary Mary, accompanied by Yola.

Mary Mary wrote on Instagram, ""We're so excited to represent INGLEWOOD at #SBLVI with our performance of Lift Every Voice and Sing. The incredible YOLA will be joining us. February 13. Tune in. You won't want to miss it!""

Zedd, a popular Russian-German DJ, record producer and songwriter, will be the pregame DJ for the game. This Super Bowl marks the second time in NFL history and the second consecutive year a team will be playing on its home field.","Super Bowl 2022: Mickey Guyton to sing national anthem, other pregame performers at SoFi Stadium in L.A.",2022-02-01 09:57:59
2,Los Angeles Rams ,https://thespun.com/nfl/nfc-east/dallas-cowboys/jerry-jones-reveals-team-hes-rooting-for-in-super-bowl,"Dallas Cowboys owner Jerry Jones has made it very clear that he desperately wants to see his team back in the Super Bowl. Unfortunately, he’ll have to wait at least one more year to witness that.

The NFC will either be represented by the Los Angeles Rams or San Francisco 49ers this season.

During an appearance on ‘K&C Masterpiece’ on 105.3 The Fan, Jones revealed which team he’s rooting for this weekend.

Not only does Jones want the Rams to win the NFC, he wants to see them hoist the Lombardi Trophy. That’s because SoFi Stadium was built right near his childhood home.

“There is such a romance to me for the Los Angeles Rams to be sitting here playing the NFC Championship Game in that new stadium, and then to turn around and potentially play in the Super Bowl there,” said Jones on 105.3 The Fan, via Audacy. “They’re about one mile from the little house my parents lived in when I was born – I was born right there. I have a lot of relatives out there.

“There is so much of me that would like to see that fairytale here. This is the first real big year for them to be operating in that stadium. We have our media headquarters out there. That just looks like the Hollywood sign that used to be on that mountain. That was the city of entertainment for the world. Now, we see that beautiful stadium, and I’m excited about that. So I’m rooting for them.”

The Rams are coming into this weekend with a lot of confidence. Last Sunday, they knocked off the Buccaneers on the road.

If the Rams win on Sunday, they’ll face either the Bengals or Chiefs in the Super Bowl.

Kickoff for the NFC Championship Game is at 6:30 p.m. ET.",Jerry Jones Reveals Team He’s Rooting For In The Super Bowl,2022-01-29 15:18:56
3,A dildo ,https://nesn.com/2022/01/youll-never-guess-what-bills-fans-threw-on-field-in-blowout-vs-patriots/,"NESN Logo Sign In

The New England Patriots wouldn’t be shut out Saturday in the Wild Card matchup between themselves and the Buffalo Bills. But even the tape from a third quarter touchdown will end up being a little embarrassing.

Because you’ll never guess what Buffalo fans threw into the end zone…

If you thought the tradition of Bills Mafia throwing a certain type of sex toy onto the field would end with Tom Brady’s departure from New England, think again. The Patriots got the same treatment in the playoffs.

Think of it as Kendrick Bourne getting an initiation of sorts after that 3-yard touchdown grab.

the Patriots just tweeted out a video of their first touchdown of the playoffs, then deleted it and tweeted out a shorter version that cuts off before their players notice that there's a dildo on the field pic.twitter.com/t1XcGEgdBF — Rodger Sherman (@rodger) January 16, 2022

you're not gonna believe this, but this isnt the first time someone threw a dildo on the field in a Bills-Patriots game pic.twitter.com/IXAiDVMXgt — SB Nation (@SBNation) January 16, 2022

We’ll admit, it’s still kind of funny.",You’ll Never Guess What Bills Fans Threw On Field In Blowout Vs. Patriots,2022-01-15 20:02:47
4,He woke up with violence on his mind. ,https://nesn.com/2021/12/what-josh-allen-told-bills-teammates-before-win-over-patriots/,"NESN Logo Sign In

Josh Allen set the tone for the Bills this past Sunday well before Buffalo’s offense took its first snap against the New England Patriots at Gillette Stadium.

In the morning leading up to the Week 16 AFC East showdown, Allen informed teammates that he woke up with “violence” on his mind. The star quarterback’s outlook, as wideout Isaiah McKenzie explained to NBC Sports’ Peter King after the game, resonated with the Bills.

“His point in saying he woke up with violence on his mind was we gotta come out and play every play like it’s the most important play,” McKenzie told King. “And we felt that from the first play of the game.”

Allen looked like a man possessed in Foxboro. The fourth-year pro had his way with New England’s defense, throwing for 314 yards with three touchdowns while also pacing Buffalo in rushing yards with 64. Allen’s stellar performance helped the Bills secure a 33-21 win, which vaulted Buffalo back into first place in the AFC East.

McKenzie certainly took Allen’s message to heart. The speedy slot wideout put together the game of his life, racking up 11 catches for 125 yards with a touchdown. McKenzie’s breakout game couldn’t have come at a better time for the Bills, who were without top WRs Cole Beasley and Gabriel Davis.

Should Allen and Co. continue to play like they did this past weekend, they will be a very tough out the rest of the way.",What Josh Allen Told Bills Teammates Before Win Over Patriots,2021-12-29 09:44:32
5,"Tweeted: ""Vaccinated & all.. Smh 🤦🏾‍♂️ damn.
I think it’s just a winter sniffle 🤧🥶 Where’s a booster 💉 🤷🏾‍♂️ #GetVaccinated #StaySafe""

",https://www.yahoo.com/news/josh-gordon-shares-vaccination-status-144828950.html,"Three dozen NFL players tested positive for COVID-19 on Monday and were put on the league’s reserve/COVID-19 list, according to NFL.com.

In response, the NFL is having all Tier 1 and Tier 2 personnel who have been vaccinated get a booster shot by Dec. 27, Mike Garofolo of the NFL Network reported.

Players and coaches fall under the Tier 1 category, the NFL.com story noted, but the NFL Players’ Association would need to sign off on the NFL’s plan before players would get the booster shot.

But one player seems eager to get the booster shot: Chiefs wide receiver Josh Gordon.

Gordon, who was among the 36 NFL players to go on the NFL’s reserve/COVID-19 list, tweeted about the move.

“Vaccinated & all.. Smh damn. I think it’s just a winter sniffle Where’s a booster #GetVaccinated #StaySafe,” Gordon wrote.

Vaccinated & all.. Smh ‍♂️ damn.

I think it’s just a winter sniffle Where’s a booster ‍♂️ #GetVaccinated #StaySafe — Flash (@JOSH_GORDONXII) December 14, 2021

If Gordon is indeed vaccinated, he potentially could play Thursday for the Chiefs.

As The Star’s Herbie Teope noted, “vaccinated players or staff members who test positive and are asymptomatic are allowed to return following two negative tests taken 24 hours apart.”

Gordon, who signed with the Chiefs on Sept. 30, caught his first touchdown pass in Sunday’s 48-9 win over the Raiders.",Josh Gordon shares his vaccination status after Chiefs place him on COVID-19 list,2021-12-14 09:37:03
6,They brought their own benches with them. ,https://www.cbssports.com/nfl/news/cowboys-make-unexpected-move-before-game-with-washington-ron-rivera-warns-his-team-to-not-fall-for-mind-games/,"There's one thing the Week 14 matchup between the Dallas Cowboys and the Washington Football Team won't lack, and that's drama. One of the longest and most toxic rivalries in the NFL reignites for 2021 when the former takes their talents to FedEx Field on Sunday, and amid a fiery public exchange of words between the team's head coaches. Mike McCarthy expressed the ultimate ""confidence"" in his gameplan to go into Maryland and win, his comments meeting the ire of Ron Rivera, who labeled them a ""big mistake.""

That was far from the end of their exchange though, the media serving as a messenger service between Dallas and Greater Landover this week. On Friday, McCarthy was asked about Rivera's distaste for his initial comment, and he didn't pull any punches.

""The conversation we had in [Thursday's press conference], we were talking about a number of different things,"" said McCarthy. ""I think when you come out of a bye weekend, just like comments that are made, context is important. And I think sometimes that gets lost. But it's irrelevant what anybody thinks, anybody thinks about what I said in here yesterday. I was talking about my team.

""I can always coach my own team. And that's where I'm at with it.""

The temperature between the two rivals spiked further when owner Jerry Jones tagged in and jumped off of the top rope.

""We have always sold more Cowboys hats, caps, T-shirts, we've always had our greatest fan support positive coming from Washington,"" Jones told 105.3FM the Fan. ""That's outside the Dallas area -- outside the Texas area -- Washington is where we have the most support of all when it comes to all the things you might count.""

Despite there being a large element of fact in what Jones said, it sparked an even taller storm surge during what's labeled as ""Dallas week"" in the nation's capital, but it's what Jones did two days later that's truly turning the screws. The Hall of Fame owner flew in the Cowboys benches to have them placed on Dallas' sideline on Sunday, a first time for any opponent entering FedEx Field.

Let the games begin.

Now, it's entirely possible this wasn't merely intended to be a slight from Jones to a franchise that, if they had their way, wouldn't have allowed the Cowboys into the NFL in the first place (back in the late 1950s). Apparently, the Seattle Seahawks (who lost to Washington at FedEx Field in Week 12) tipped off Jones to issues with the hotseat benches on the visitor's sideline in the stadium, per Todd Archer of ESPN, detailing how they'd routinely go out during the game, so Jones decided to ship his own to prevent that from being an issue.

Temperatures are expected to be in the mid-40s at kickoff, per Weather.com, so Jones made the call.

The Cowboys are 8-4 after stumbling mightily in November and then handing the New Orleans Saints a loss at Caesars Superdome to begin the all-important month of December, but Rivera has Washington on a red-hot four-game win streak that puts them at 6-6 and back in the playoff hunt. Their battle on Sunday will be the first of the season and is not only critical for both clubs, but will also set the tone for their second matchup to come in two weeks from today. Rivera is hoping to upset the Cowboys and not only send a message to the NFL that his team could make waves going forward, but also as a means of shoving McCarthy's and Jones' foot into their respective mouths.

Of course, the latter two want nothing more than to do the same to Rivera, who has also reportedly held a meeting to advise his players to not fall for any perceived psychological tactics being deployed this week by the Cowboys, per Ian Rapoport of NFL Network. It could be argued that Rivera having that conversation means they've already allowed the Cowboys into their mental space, but ultimately it'll come down to what happens on the field that decides this game, and the NFC East.

To that point, the Cowboys are seeing a surge of reinforcements return in Week 14 while Washington is forced to be without a slew of key players due to a combination of injury and COVID-19. If Rivera is going to stun Dallas, he's going to have to hope they're not on their best game -- i.e., overconfident -- and that his squad steps up to show McCarthy and Jones why words and flown-in benches don't matter.

As for the Cowboys, well, the benches can't be the only thing on their sideline that heats up on Sunday.",Cowboys make unexpected move before game with Washington; Ron Rivera warns his team to not fall for mind games,2021-12-12 08:20:44
7,IND 41 - 15 BUF It's the 1070th unique final score in NFL history. ,https://www.cbssports.com/nfl/news/colts-upset-win-over-bills-ends-with-final-score-thats-never-been-seen-before-in-nfl-history/,"For the second time in the 2021 NFL season, the Indianapolis Colts found themselves involved in an NFL rarity: A Scorigami.

If you're not familiar with Scorigami, it's pretty simple: The internet cheers when the NFL gives us a final score that's never been seen before and that's what the Colts' 41-15 upset win over the Bills gave us during Week 11.

Scorigami has grown so much on Twitter that the Colts even made note of the fact that they hit the unique score in the win.

The idea of tracking every Scorigami was created by SB Nation writer Jon Bois and there's now a Twitter account with more than 275,000 followers that tracks each and every Scorigami.

The Scorigami Twitter account should probably dedicate this week's Scorigami to Jonathan Taylor and that's because he scored five touchdowns in the win.

The Colts victory marked the NFL's fourth Scorigami of the season and the SECOND one by Indy. The Colts also had a Scorigami back in Week 9 when they beat the Jets 45-30. The first one of the year came back in Week 6 when the Rams beat the Giants 38-11. Arizona and Houston also had a Scorigami in Week 7 when the Cardinals beat the Texans 31-5.

In the Colts' win over the Bills, the Scorigami almost didn't happen. Going into the fourth quarter, the Colts were ahead 38-7 and if that had been the final score, that wouldn't have been a Scorigami because it's happened 45 times in NFL history.

Early in the fourth quarter, the score changed when Josh Allen hit Stefon Diggs for a touchdown. After the score, the Bills also hit on the two-point conversion to make it 38-15. Although that score is rare, it has happened five times before in NFL history, so that wouldn't have been a Scorigami, either. The Scorigami wasn't locked in until Michael Badgley hit a 35-yard field goal with over six minutes left to make it 41-15.

The Colts then picked off Mitchell Trubisky late in the game to seal the Scorigami. And that's how you get a unique score for the 1,070th time in NFL history.

This has been a surprisingly slow year for Scorigamis with only four. Last year, there were a total of 12 on the season. Of course, it's not surprising to see fewer Scorigamis and that's because every time one hits, that's one final-score option that's taken off the table.

Get 40% off NFL gear now

The holidays are almost here, and you can now get 40% off select NFL gear at Fanatics. Hoodies, shirts, jackets, and much more are discounted. There's even baseball gear on sale. Check out the full Holiday Promo selection here now.



We may receive a commission for purchases made through these links.","Colts accomplish rare feat 2nd time in 2021, as win over Bills ends with final score never seen in NFL history",2021-11-21 18:08:30
8,New York Giants ,https://www.yahoo.com/sports/tom-brady-reveals-the-nfl-team-he-loves-beating-the-most-and-its-exactly-who-you-think-232202639.html,"Tom Brady became the fourth quarterback in NFL history to defeat all 32 teams after taking down the New England Patriots on Sunday.

Brady has made plenty of rivals since joining the NFL in 2000. The Miami Dolphins have always given him trouble, the Kansas City Chiefs were responsible for his torn ACL, and the Indianapolis Colts and Peyton Manning always provided must-see television.

Beating those teams was likely satisfying, but there's one team Brady enjoys beating even more. If you think about Brady's career for a few seconds, you can probably guess which one.

Yeah, it's the New York Giants.

Brady revealed that tidbit on his podcast ""Let’s Go! With Tom Brady, Larry Fitzgerald and Jim Gray.” Why the Giants? The Super Bowl losses, of course.

Here's Brady's answer, per NBC Sports.

“Holy cow, that’s a good question,"" Brady said. ""The team I would love to beat the most is the Giants, there’s no doubt about that, because they’ve taken away some really, you know — I’ve always joked with Eli [Manning] but, yeah, and I think he likes that I bring it up all the time. So to bring it up again, I do not like losing to those guys, so when we beat them I love that.""

The choice is understandable. Two of the biggest losses of Brady's career came against the Giants. The two times Brady played the team in the Super Bowl, he lost.

The regular season is a different story. Brady is 5-1 against the Giants. He's thrown eight touchdowns and four interceptions in those games.

Tom Brady loves to beat the Giants. (Photo by Jim McIsaac/Getty Images)

Tom Brady praises Patriots after beating them in Week 4

Brady took things a step further and told Gray which team he enjoys beating the least. It's easy to assume Brady harbors bad blood against the Patriots, but that's not the case. He admitted he enjoyed beating his former team the least.

Brady explained it was tough to face off against former teammates.

""And the team I like to beat the least is obviously the Patriots. Again, those are my guys, man. Those are the other warriors that I went to battle with for so long. I’ve had a lot of battles over the years with different teams, there’s a lot of mutual respect in pro sports, but glad I’m through with the one last night.”

Sunday's win might have been bittersweet, but Brady can offset that feeling in a few weeks. The Buccaneers will take on the Giants in Week 11, and Brady won't feel any remorse if he's victorious in that one.",Tom Brady reveals the NFL team he loves beating the most and it's exactly who you think,2021-10-06 07:00:12
9,Carolina Panthers ,https://nesn.com/2021/09/nfl-trade-rumors-matthew-stafford-stopped-deal-to-this-team/,"NESN Logo Sign In

Matthew Stafford knew where he wanted to go, and he ultimately took matters into his own hands to ensure his desires were fulfilled.

With his Detroit departure imminent, Stafford reportedly zeroed in on the Los Angeles Rams, the Indianapolis Colts and the San Francisco 49ers as his top three potential landing spots. And when a team not on that list became “aggressive” in their pursuit of the veteran quarterback, Stafford intervened.

According to NFL Media’s Ian Rapoport, Stafford nixed a trade to the Carolina Panthers that was gaining steam.

From Rapoport’s report Sunday:

After consulting with his family, he made clear that he wanted to go to the Rams and so did his family. Stafford made his voice heard, and the Lions brass listened.

Suddenly, the Panthers — despite offering a prime first-round pick and Teddy Bridgewater — were out.

As multiple sources explained for the first time, Stafford ultimately steered himself to Los Angeles. He stepped in and stopped a Panthers deal on the verge of happening and caused the Rams to up their offer to include two future first-round picks and Jared Goff.",NFL Trade Rumors: Matthew Stafford Stopped Deal To This Team,2021-09-12 08:48:08
