,summary,link,article,title,time
0,"Millions of European Health Insurance Cards are expiring, so healthcare while traveling will be very expensive. ",http://www.independent.co.uk/life-style/health-and-families/health-news/brexit-travel-europe-holidays-ehic-medical-bills-a7135086.html,"Britain's vote to leave the European Union is expected to trigger a rush in new applications for special health insurance cards that entitle travellers to discounted medical bills on the continent.

According to data obtained by This Is Money, seven million European Health Insurance Card (EHIC) cards are due to expire this year. If caught out, tourists will have to pay more in medical bills than expected.

This further adds to the worries of UK citizens who fear Brexit could mean the loss of cheaper medical bills abroad.

When in the European Economic Area (EEA) or Switzerland, EHIC cards enable the holder to receive emergency medical care at the same cost and standard as state-provided care in the country.

Lonely Planet's Best in Europe 2016 list Show all 10 1 /10 Lonely Planet's Best in Europe 2016 list Lonely Planet's Best in Europe 2016 list 1. Peloponnese, Greece GETTY Lonely Planet's Best in Europe 2016 list 2. Aarhus, Denmark ARoS Aarhus Kunstmuseum Lonely Planet's Best in Europe 2016 list 3. Venice, Italy GETTY Lonely Planet's Best in Europe 2016 list 4. The Dordogne, France REUTERS Lonely Planet's Best in Europe 2016 list 5. Lviv, Ukraine GETTY Lonely Planet's Best in Europe 2016 list 6. Warwickshire, England GETTY Lonely Planet's Best in Europe 2016 list 7. Extremadura, Spain GETTY Lonely Planet's Best in Europe 2016 list 8. East Coast Tenerife, Canary Islands Getty Lonely Planet's Best in Europe 2016 list 9. Texel, the Netherlands REUTERS Lonely Planet's Best in Europe 2016 list 10. Northern Dalmatia, Croatia GETTY

According to the NHS, this means cardholders receive treatment “at a reduced cost or, in many cases, for free.”

After submitting a freedom of information request to the NHS business services authority, This Is Money revealed that 7,196,592 EHIC cards are set to expire this year.

The number expiring this year is unprecedented and marks an increase of 66% when compared with 2015.

Last year 4,333,892 cards expired, whilst only 2,797,576 expired in 2014. However, data is only stored for two years and This Is Money warned: “This wasn’t reflective of the whole of that year”.

✕ Brussels welcomes appointment of May as British PM

The findings suggest that a large number of UK tourists are set to be caught out if they produce an expired EHIC card when in Europe. Failure to produce a valid card may result in expensive private medical treatment.

Reminders are not sent out to EHIC cardholders and it is the responsibility of the owner to renew his card.

All adults over the age of 16 require their own EHIC card to benefit from the reduced cost in medical expenses. An EHIC card is free but This Is Money warned: “several websites have been set up in the past few years selling EHIC cards for a fee.

“However, these sites are a scam and you… can apply for an EHIC card through the official EHIC website, by calling 0300 330 1350 or by printing an application on the NHS website.”",Tourists in Europe face unexpected medical bills post-Brexit with millions of EHICs due to expire,2016-07-14 12:00:01
1,It's a symbol of solidarity with refugees and immigrants. ,https://www.good.is/articles/safety-pin-solidarity-immigrants-uk?utm_content=inf_4_81_2&utm_source=TSE&utm_medium=FB&utm_campaign=pd&tse_id=INF_ddae0d9042c911e6b2732919379f9d79,"THE DAILY GOOD

Start your day with something GOOD.",Here’s The Powerful Reason People Are Wearing Safety Pins In The U.K.,2016-07-14 11:10:00
2,A 115-foot (35-meter) long tunnel that Jewish prisoners secretly dug with spoons and their bare hands to escape Nazis. ,http://www.iflscience.com/editors-blog/hidden-jewish-escape-tunnel-discovered-in-nazi-massacre-forest/,"In a quiet forest in Lithuania, some of the most harrowing events of the 20th century took place. Now, 70 years later, high-tech imaging techniques have helped shine a light onto the dark – yet profoundly inspirational – story of what took place there.

An international team of archaeologists has uncovered a 35-meter (115-foot) long tunnel that Jewish prisoners secretly dug with spoons and their bare hands to escape a Nazi massacre site in Lithuania's Ponar forest, a site where 100,000 people had been killed.

Researchers from Israel, Lithuania, Canada, and the US used electrical resistivity tomography to avoid disturbing the bodies in the mass graves, an imaging technique commonly used in mineral and oil exploration that shows up changes in electrical properties underground. Their imaging showed that a tunnel started in a pit, used to imprison the captives, and led to an open space in the forest.

“To find a little glimmer of hope within the dark hole of Ponar is very important as humans. The tunnel shows that even when the time was so black, there was yearning for life within that,” Jon Seligman, an archaeologist with Israel’s antiquities authority who participated in the expedition, told Associated Press.",Archaeologists Just Discovered Something Extraordinary Underneath The Scene Of A Nazi Massacre,2016-07-09 14:23:57
3,Berlin. ,https://news.fastcompany.com/because-of-brexit-berlin-is-now-likely-to-become-europes-startup-capital-4011874?utm_content=buffer560e6&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,"The thing that will ensure Germany can continue to grow is, and you should perhaps laugh both ironically and with a tear in your eye, immigration. Germany will have access to the best tech talent from throughout Europe with no complicated immigration hurdles. Immigration is arguably the top reason Brexit won the referendum, both the refugee crisis from Syria and the influx of Eastern European economies.","Because of Brexit, Berlin is now likely to become Europe’s startup capital",2016-06-28 12:26:37
4,"Stewart Jackson, MP for Peterborough, tells his critics to ""suck it up, whiner."" ",http://www.independent.co.uk/news/uk/pro-leave-mp-tells-journalist-to-suck-it-up-whiner-over-brexit-concerns-a7105701.html,"A pro-Leave politician has been criticised for calling a journalist a “whiner” for expressing concerns about the result of the EU referendum, before dismissing those “in denial” about the vote.

Stewart Jackson, MP for Peterborough, campaigned in support of Brexit and told GQ’s political correspondent Rupert Myers to “suck it up” during a brief exchange on Twitter on Sunday evening.

Myers had written: “I can’t get over the fact that the winning side lied about a whole bunch of stuff and yet expect us to live cheerfully with the result.”

The MP replied: “I know you’re struggling to cope with representative democracy & the decision of 17m people to disagree with you but chin up.”

Mr Jackson’s comments were spotted and retweeted by author J.K.Rowling, who wrote: “Welcome to our post-referendum, anti-elitist, in-touch-with-the-people politicians.”

In response, Mr Jackson told Peterborough Today: “I could not care less what JK Rowling thinks. It’s got nothing to do with her.

“There’s a campaign to de-legitimise the result which is the largest number of people voting for anything in British electoral history.

EU referendum - in pictures Show all 18 1 /18 EU referendum - in pictures EU referendum - in pictures A woman in a wheelchair with British and European Union flags shows her support for the United Kingdom to remain in the European Union on the day of the EU Referendum in Gibraltar Getty Images EU referendum - in pictures A polling station being used in the EU referendum at Batley Town Hall in the constituency Labour MP Jo Cox PA EU referendum - in pictures People arrive to vote in the EU Referendum at the Library where British MP Jo Cox was shot and fatally wounded last week in Birstall EPA EU referendum - in pictures A man arrives to vote at a polling station for the Referendum on the European Union in north London REUTERS EU referendum - in pictures Voters queue to enter a polling station at Trinity Church in Golders Green in London Getty Images EU referendum - in pictures British Prime Minister David Cameron and his wife Samantha Cameron leave after voting in the EU Referendum at Central Methodist Hall, Westminster Getty Images EU referendum - in pictures Labour Party leader Jeremy Corbyn cast his vote at a polling station at Pakeman Primary School in Islington Getty Images EU referendum - in pictures Chelsea pensioners arrive at a polling station near to the Royal Chelsea Hospital PA EU referendum - in pictures A woman wearing an ""I'm In"" t-shirt, promoting the official ""Remain"" campaign, leaves a polling station in London AFP/Getty Images EU referendum - in pictures People queuing outside a polling station on Amott Road in London PA EU referendum - in pictures Scotland's First Minister and Leader of the Scottish National Party (SNP), Nicola Sturgeon and her husband Peter Murrell, react as leave after casting their votes at a polling station at Broomhouse Community Hall in east Glasgow AFP/Getty Images EU referendum - in pictures A man wearing a European themed cycling jersey leaves after voting at a polling station for the Referendum on the European Union in north London REUTERS EU referendum - in pictures Ukip leader Nigel Farage arrives to cast his vote at Cudham Church of England Primary School in Biggin Hill, Kent PA EU referendum - in pictures Justice Secretary and prominent 'Vote Leave' campaigner Michael Gove poses with his wife Sarah Vine after voting in the European Union referendum at their local polling station in Kensington Getty EU referendum - in pictures Nuns leave a polling station after voting in the EU Referendum in London EPA EU referendum - in pictures People arrive to cast their ballots in the EU Referendum in Gibraltar. The United Kingdom and its dependant territories are going to the polls to decide whether or not the the United Kingdom will remain in the European Union Getty Images EU referendum - in pictures A man driving a van covered in stickers urging people to vote for the United Kingdom to remain in the European Union drives outside a polling station on the day of the EU Referendum in Gibraltar Getty Images EU referendum - in pictures A sign on a gable wall in Belfast's, Loyalist Tigers Bay urging voters to leave the EU using scripture from Revelation 18:4, as voters head to the polls across the UK in a historic referendum on whether the UK should remain a member of the European Union or leave PA

“There’s an attempt to say people who voted to leave were stupid and did not understand the issue. That’s nonsense. We need a period of humility from people who are in denial.”

Mr Jackson also dismissed criticisms aimed at the leave campaign - including suggestions £350 million more a week will not now be spent on the NHS.

He added: “The point is there’s £350 million that has to be allocated to the EU. It’s up to the Government now - it might spend it on the NHS, adult social care, school places. We will have that choice to make.”

The Independent has contacted the office of Stewart Jackson for comment.",Pro-Leave MP tells journalist to 'suck it up whiner' over Brexit concerns,2016-06-28 06:40:49
5,"1) Acquisition of Irish citizenship through descent, 2) marriage, or 3) ""citizenship by investment"" (basically buying your citizenship). ",http://www.independent.co.uk/news/uk/politics/brexit-latest-eu-referendum-how-can-i-keep-my-eu-passport-travel-a7100091.html,"A passport from a European Union country confers the right to live and work in any other EU nation, and soon UK citizens will lose that right. After the Leave vote, some speculated that they could renew their passport immediately and remain a citizen of the EU for the next 10 years. That option will not work. Even though the cover of a British passport reads ""European Union"" at the top, when the UK leaves Europe, it ceases to be an EU passport.

Accordingly, many people will decide it is rational to seek an alternative passport. But how difficult is it?

The easiest route for some will be to acquire Irish citizenship through descent - a process that is straightforward if you have the good fortune to have an Irish parent. It doesn't matter if they were born in the Republic or Northern Ireland; it's the island of Ireland that counts.

The government in Dublin says: “If either of your parents was an Irish citizen who was born in Ireland, then you are automatically an Irish citizen, irrespective of your place of birth. If you were born outside Ireland to an Irish citizen who was himself or herself born outside Ireland, then you are entitled to become an Irish citizen.”

✕ David Cameron resigns as PM

Even if neither of your parents is an Irish citizen, you can go back another generation: to citizenship through descent from Irish grandparents.

The Irish government says if one of your grandparents is an Irish citizen who was born in Ireland, you can have your birth registered in the Foreign Births Register - and, “If you are entitled to register, your Irish citizenship is effective from the date of registration.”

This lineage can continue through the generations: if you are (or become) an Irish citizen, this status can be passed on “by each generation ensuring their registration in the Foreign Births Register before the birth of the next generation”.

6 ways Britain leaving the EU will affect you Show all 6 1 /6 6 ways Britain leaving the EU will affect you 6 ways Britain leaving the EU will affect you More expensive foreign holidays The first practical effect of a vote to Leave is that the pound will be worth less abroad, meaning foreign holidays will cost us more nito100 6 ways Britain leaving the EU will affect you No immediate change in immigration status The Prime Minister will have to address other immediate concerns. He is likely to reassure nationals of other EU countries living in the UK that their status is unchanged. That is what the Leave campaign has said, so, even after the Brexit negotiations are complete, those who are already in the UK would be allowed to stay Getty 6 ways Britain leaving the EU will affect you Higher inflation A lower pound means that imports would become more expensive. This is likely to mean the return of inflation – a phenomenon with which many of us are unfamiliar because prices have been stable for so long, rising at no more than about 2 per cent a year. The effect may probably not be particularly noticeable in the first few months. At first price rises would be confined to imported goods – food and clothes being the most obvious – but inflation has a tendency to spread and to gain its own momentum AFP/Getty Images 6 ways Britain leaving the EU will affect you Interest rates might rise The trouble with inflation is that the Bank of England has a legal obligation to keep it as close to 2 per cent a year as possible. If a fall in the pound threatens to push prices up faster than this, the Bank will raise interest rates. This acts against inflation in three ways. First, it makes the pound more attractive, because deposits in pounds will earn higher interest. Second, it reduces demand by putting up the cost of borrowing, and especially by taking larger mortgage payments out of the economy. Third, it makes it more expensive for businesses to borrow to expand output Getty 6 ways Britain leaving the EU will affect you Did somebody say recession? Mr Carney, the Treasury and a range of international economists have warned about this. Many Leave voters appear not to have believed them, or to think that they are exaggerating small, long-term effects. But there is no doubt that the Leave vote is a negative shock to the economy. This is because it changes expectations about the economy’s future performance. Even though Britain is not actually be leaving the EU for at least two years, companies and investors will start to move money out of Britain, or to scale back plans for expansion, because they are less confident about what would happen after 2018 AFP/Getty Images 6 ways Britain leaving the EU will affect you And we wouldn’t even get our money back All this will be happening while the Prime Minister, whoever he or she is, is negotiating the terms of our future access to the EU single market. In the meantime, our trade with the EU would be unaffected, except that companies elsewhere in the EU may be less interested in buying from us or selling to us, expecting tariff barriers to go up in two years’ time. Whoever the Chancellor is, he or she may feel the need to bring in a new Budget Getty Images

If your genes are geopolitically unhelpful, the next possible route to an EU passport is marriage. But don’t expect instant results. Each country makes its own rules on how long it takes to acquire citizenship, and they are generally designed to avoid marriages of convenience. For example, the spouse of a citizen of Malta can become a citizen of the island only after five years of wedded bliss.

The final option is open only to those with the right kind of bank balance: buying your way in to EU nationality, with a “citizenship by investment” scheme that many countries offer. According to KPMG, Cyprus is “the ‘jurisdiction of choice’ for many high net worth individuals and their families”. The price tag is investing €5m in the island.",Brexit: How can I keep my EU passport?,2016-06-24 08:57:27
6,A startling number of sexual assaults were committed by serial rapists. ,http://www.attn.com/stories/8902/researchers-tested-backlogged-rape-kits-revealed-startling-truth-about-sexual-assault,"On Monday, researchers from Case Western University released the results of an investigation into backlogged rape kits in Ohio's Cuyahoga County. Included in the results are some noteworthy findings about the behaviors of serial rapists and one time offenders.

The data, which was reported by the Cut, revealed that a startling number of sexual assaults were committed by serial rapists.

According to the Cut, the Case Western study is related to a larger effort to process a huge backlog of rape kits in the Cleveland area. Researchers were able to look at 248 high priority rape case files, and found noteworthy differences between serial rapists and one time offenders.

""About a quarter of the serial offenders in this sample had previously been arrested for sexual assault, and 60 percent would have a subsequent sexual-assault arrest. The majority of both serial and onetime sexual offenders had a history of a felony-level arrest, but serial offenders' histories were more extensive and violent. Serial rapists were also more likely to kidnap their victims, commit the assault outdoors, and threaten victims with a weapon.

Case Western researchers also wrote in a brief that ""it is very likely that a sexual offender has either previously sexually assaulted or will offend again in the future.""

As result, they recommend authorities alter their approach to investigating rape cases.

""Investigating each sexual assault as possibly being perpetrated by a serial offender has the potential to reduce the number of sexual assaults if the focus of the investigation is more on the offender than on a single incident. Serial offenders have traditionally been investigated according to the consistency of the assault or the MO (e.g., who they assault, where they assault, how they assault). For example, our findings seem to suggest that MOs (while definitely important to track for investigative purposes, especially when DNA is present) are not a consistently reliable link across assaults and thus a missed opportunity to solve unsolved sexual assaults and an opportunity to prevent future offending.""

We don't know exactly how many untested rape kits are out there.

""We cannot be sure of the total number of untested kits nationwide because most jurisdictions do not have systems for tracking or counting rape kits,"" End the Backlog reports. ""Additionally, there is no federal law mandating a nationwide movement toward tracking and testing rape kits, despite efforts by some members of Congress to pass such legislation. However a growing number of states, all across the country, are making real reforms to end the backlog.""

In late May, the Senate unanimously voted to pass a bill that would grant rights to victims of sexual assault.

""The Senate measure would generally require that victims be notified of the results of rape kit tests, including any DNA matches, as well as toxicology reports that could show whether they had been given a date-rape drug, for instance,"" the New York Times reported.

""The bill would also ensure that rape kits would be preserved without charge for 20 years or until the statute of limitations expires, whichever comes first,"" the Times added.

Still, it's important to acknowledge that only a small fraction of victims of sexual assault report incidents to law enforcement.

Sixty-eight percent of sexual assault victims do not report incidents to the police, according to the Rape, Abuse & Incest National Network (RAINN).

You can read the whole report on the Cuyahoga County Sexual Assault Kit (SAK) Pilot Research Project at Case Western University's Begun Center site.

[h/t the Cut]",Testing of Backlogged Rape Kits Reveal New Insights,2016-06-23 11:00:00
7,"Kansas' economy suffered, California's economy grew. ",https://www.washingtonpost.com/news/wonk/wp/2016/06/17/one-state-raised-taxes-the-other-cut-them-guess-which-one-is-in-recession/?campaign_id=A100&campaign_type=Email,"Neither of those predictions came true. Not right away -- California grew just fine in the year the tax hikes took effect -- and especially not in the medium term, as new economic data showed this week.

Now, correlation does not, as they say, equal causation, and two examples are but a small sample. But the divergent experiences of California and Kansas run counter to a popular view, particularly among conservative economists, that tax cuts tend to supercharge growth and tax increases chill it.

Advertisement

Story continues below advertisement

California's economy grew by 4.1 percent in 2015, according to new numbers from the Bureau of Economic Analysis, tying it with Oregon for the fastest state growth of the year. That was up from 3.1 percent growth for the Golden State in 2014, which was near the top of the national pack.

The Kansas economy, on the other hand, grew 0.2 percent in 2015. That's down from 1.2 percent in 2014, and below neighboring states such as Nebraska (2.1 percent) and Missouri (1.2 percent). Kansas ended the year with two consecutive quarters of negative growth -- a shrinking economy. By a common definition of the term, the state entered 2016 in recession.

Other effects of the Kansas tax cuts, which were meant to spur entrepreneurship, are well-documented.

Story continues below advertisement

While state officials anticipated that the reductions would create a shortfall in the state budget, tax revenues have been consistently below even those expectations. Standard & Poor’s and Moody’s Investors Service have signaled that they could reduce Kansas’s credit rating, indicating there is a chance the state cannot pay its bills.

Advertisement

The shortfalls have forced Gov. Sam Brownback (R) and lawmakers to make additional adjustments. The state canceled the initial reduction in sales taxes, then increased them again, while delaying additional scheduled reductions in the income tax.

On the whole, Brownback’s policies modestly increased taxes for the poor and working class, who pay more in sales taxes than income taxes, while reducing taxes drastically for the rich.

Story continues below advertisement

The poorest 20 percent of households -- those making less than $23,000 a year -- are paying about $200 more, on average, according to an analysis by the Institute on Taxation and Economic Policy in Washington. For the middle class, the changes have been a wash, with less-affluent households paying somewhat more and more-affluent households giving up a little less.

Meanwhile, the wealthiest 1 percent of households, those making at least $493,000 a year, are saving an average of $25,000.

Kansas’s gross domestic product is still less than it was at the end of 2011, said Menzie Chinn, an economist at the University of Wisconsin-Madison, who has been following Kansas’s economy. Meanwhile, the economy in the rest of the country continues to expand.

Advertisement

Story continues below advertisement

“It’s remarkable,” Chinn said.

It is perhaps less remarkable -- or surprising -- that California has powered along. The recovery nationwide has favored massive metropolitan areas stocked with high-skilled workers, which is to say places such as Los Angeles, San Jose and San Francisco. The damage from California's deep housing crash has slowly healed in places such as the Central Valley.

Still, the noncoastal regions of California lag far behind Silicon Valley and Los Angeles in their job and growth recoveries. The state's median income remains below pre-recession levels after adjustment for inflation, although it still beats the national average.

Few, if any, economists would say today that the recovery has been sufficient for all Californians. But almost no one can say that raising taxes on the rich killed that recovery. Or that given a choice of the two states' economic performances over the past few years, you'd rather be Kansas.",The interesting thing that happened when Kansas cut taxes and California hiked them,2016-06-23 11:00:00
8,Volunteers dressed as angels formed a human wall to separate the hateful Westboro Baptist Church from mourners at victims' funerals. ,http://www.bet.com/news/national/2016/06/19/anti-lgbt-protestors-at-funerals.html,"As many of the funerals for victims of the mass shooting at Pulse nightclub in Orlando have begun, and the majority of the victims were LBGT men, it's no surprise that the notorious hate group, Westboro Baptist Church, made an appearance to protest by holding up their hateful signs and claiming that homosexuality is responsible for the evil in the world. But they weren't prepared for what they found when they arrived.

The protestors were blocked by volunteers who dressed up as angels, with huge white sheets held up from their shoulders to block the signs, and chants, from the Westboro Baptist Church protestors.

The ""Angel Action"" counter-protest can be traced back almost 30 years, to 1999, when WBC members picketed the funeral of Laramie, Wyoming gay teen, Matthew Shepard where friends of the murdered teen dressed up in similar outfits to block protestors at the murder trials of the two men responsible for his tragic death.

The angels at Saturday's funerals were members of the Orlando Shakespeare Theater, and their actions were met with hugs and tears from the grateful family and friends of those lost in the tragic shooting.

The chants of the WBC were also drowned out by the angelic volunteers singing ""Amazing Grace,"" in a beautiful and emotional sing of solidarity and support.",Anti-LGBT Protesters Find a Surprise Waiting for Them at Funerals of Orlando Victims,2016-06-23 10:00:00
9,"Denise Snow, the Alaska Airlines representative, paid her respects by singing The Star-Spangled Banner in his honor. ",http://www.littlethings.com/alaska-airlines-stunning-tribute/?utm_source=jclu&utm_medium=social&utm_campaign=inspiring,,"Family, Parenting, Pet and Lifestyle Tips That Bring Us Closer Together",2016-06-23 09:00:00
